municipality,name,iata_code,coordinates
Utirik Island,Utirik Airport,UTK,"11.222219, 169.851429"
Key Largo,Ocean Reef Club Airport,OCA,"25.325399, -80.274803"
Crested Butte,Crested Butte Airpark,CSE,"38.851918, -106.928341"
Columbus,Columbus Airport,CUS,"31.823898, -107.629924"
Stonewall,LBJ Ranch Airport,JCY,"30.251801, -98.622498"
Loring,Loring Seaplane Base,WLR,"55.601299, -131.636993"
Nunapitchuk,Nunapitchuk Airport,NUP,"60.905591, -162.440454"
Port Alice,Port Alice Seaplane Base,PTC,"55.803, -133.597"
Icy Bay,Icy Bay Airport,ICY,"59.966269, -141.660118"
Port Protection,Port Protection Seaplane Base,PPV,"56.3288, -133.610001"
Kalakaket Creek,Kalakaket Creek AS Airport,KKK,"64.4166256967, -156.820392609"
Dunsmuir,Dunsmuir Muni-Mott Airport,MHS,"41.263199, -122.272003"
Beeville,Chase Field Industrial Airport,NIR,"28.362444, -97.661917"
Littlefield,Grand Canyon Bar Ten Airstrip,GCT,"36.257984, -113.231063"
Ellamar,Ellamar Seaplane Base,ELW,"60.893818, -146.704038"
Lime Village,Lime Village Airport,LVD,"61.3591003418, -155.440002441"
Hogatza,Hog River Airport,HGZ,"66.176133, -155.684816"
Oaktown,Ed-Air Airport,OTN,"38.851782, -87.49987"
Telida,Telida Airport,TLF,"63.393902, -153.268997"
Brazoria,Eagle Air Park,BZT,"28.982200622559, -95.579696655273"
Entrance Island,Entrance Island Seaplane Base,HBH,"57.412201, -133.43848"
False Island,False Island Seaplane Base,FAK,"57.5321998596, -135.212997437"
Blakely Island,Blakely Island Airport,BYW,"48.579162, -122.823844"
Kenai,Drift River Airport,DRF,"60.588901519800004, -152.162002563"
Bradford,Rinkenberger Restricted Landing Area,BDF,"41.230899810800004, -89.61569976810001"
Tetlin,Tetlin Airport,TEH,"63.124618, -142.518005"
Versailles,Roy Otten Memorial Airfield,VRS,"38.427799224854, -92.875198364258"
Golden Horn Lodge,Golden Horn Lodge Seaplane Base,GDH,"59.7470016479, -158.875"
Atmautluak,Atmautluak Airport,ATT,"60.866699, -162.272996"
Livengood,Livengood Camp Airport,LIV,"65.467, -148.6534"
Pedro Bay,Pedro Bay Airport,PDB,"59.796925, -154.129994"
Ouzinkie,Ouzinkie Airport,KOZ,"57.942094, -152.464314"
Tununak,Tununak Airport,TNK,"60.569638, -165.246649"
Hyder,Hyder Seaplane Base,WHD,"55.903324, -130.009975"
Minto,Minto Al Wright Airport,MNT,"65.147991, -149.368658"
Tokeen,Tokeen Seaplane Base,TKI,"55.937099, -133.326996"
Aleknagik,Aleknagik / New Airport,WKK,"59.2826004028, -158.617996216"
Ketchikan,Ketchikan Harbor Seaplane Base,WFB,"55.349899, -131.677002"
Rolling Fork,Rollang Field,RFK,"32.953543, -90.845144"
Naknek,Naknek Airport,NNK,"58.735633, -157.02216"
Katmai National Park,Lake Brooks Seaplane Base,BKF,"58.554798, -155.776993"
Belle Chasse,Southern Seaplane Airport,BCS,"29.866078, -90.021608"
Stow,Minute Man Air Field,MMN,"42.460298, -71.519031"
San Pedro,Catalina Air-Sea Terminal Heliport,SPQ,"33.7491989136, -118.275001526"
New York,East 34th Street Heliport,TSS,"40.742372, -73.972074"
New York,New York Skyports Inc Seaplane Base,NYS,"40.735061, -73.972814"
Yes Bay,Yes Bay Lodge Seaplane Base,WYB,"55.916302, -131.800995"
Center Island,Center Island Airport,CWS,"48.490046, -122.831612"
Tatitlek,Tatitlek Airport,TEK,"60.871449, -146.690297"
Corolla,Pine Island Airport,DUF,"36.252744, -75.785256"
Friday Harbor,Stuart Island Airpark,SSW,"48.673379, -123.175439"
Fort Bragg,Fort Bragg Airport,FOB,"39.472445, -123.795319"
Poulsbo,Port of Poulsbo Marina Moorage Seaplane Base,PUL,"47.734001159668, -122.64700317383"
Los Angeles,Century City Heliport,CCD,"34.060798645, -118.417999268"
Meyers Chuck,Meyers Chuck Seaplane Base,WMK,"55.739601, -132.255005"
Alexandria Bay,Maxson Airfield,AXB,"44.312002, -75.90034"
Lubbock,Reese Airpark,REE,"33.590301513672, -102.03700256348"
Eastsound,Waldron Airstrip,WDN,"48.71141, -123.018208"
Whale Pass,Whale Pass Seaplane Float Harbor Facility,WWP,"56.116299, -133.121994"
Chuathbaluk,Chuathbaluk Airport,CHU,"61.579102, -159.216003"
Ugashik,Ugashik Airport,UGS,"57.523476, -157.396344"
City of Industry,Recreation and Conference Center Heliport,JID,"34.020472, -117.927396"
Essington,Philadelphia Seaplane Base,PSQ,"39.859001159668, -75.299598693848"
Levelock,Levelock Airport,KLL,"59.12606, -156.860906"
Saginaw Bay,Saginaw Seaplane Base,SGW,"56.886299, -134.158005"
Tuntutuliak,Tuntutuliak Airport,WTL,"60.351243, -162.654476"
Twin Hills,Twin Hills Airport,TWA,"59.074713, -160.274992"
Chignik Lake,Chignik Lake Airport,KCQ,"56.255001, -158.774994"
Adado,Adado Airport,AAD,"6.095802, 46.6375"
Atkamba Mission,Atkamba Airport,ABP,"-6.06462, 141.095173"
Arica,Arica Airport,ACM,"-2.143713, -71.75935"
El Daein,El Daein Airport,ADV,"11.4023, 26.1186"
,Dubai Seaplane Terminal,DST,"25.263, 55.272"
Adar,Adareil Airport,AEE,"10.053611, 32.959444"
Chifeng,Ar Horqin Airport,AEQ,"43.908407, 120.15099"
Ampara,Kondavattavana Tank Seaplane Base,AFK,"7.284, 81.644"
Codrington,Burton-Nibbs International Airport,BBQ,"17.621194, -61.798347"
Bila,Afutara Aerodrome,AFT,"-9.191389, 160.948611"
Arona,Ulawa Airport,RNA,"-9.86054358262, 161.979546547"
Atoifi,Uru Harbour Airport,ATD,"-8.87333, 161.011002"
Barakoma,Barakoma Airport,VEV,"-7.912779808044434, 156.70599365234375"
Batuna Mission Station,Batuna Aerodrome,BPF,"-8.56202777778, 158.119305556"
Liangia,Geva Airport,GEF,"-7.575829982757568, 156.5970001220703"
Angoram,Angoram Airport,AGG,"-4.057077, 144.073841"
Auki,Gwaunaru'u Airport,AKS,"-8.70257, 160.682007"
Anua,Bellona/Anua Airport,BNY,"-11.302222222200001, 159.798333333"
Choiseul Bay,Choiseul Bay Airport,CHY,"-6.711944, 156.396111"
Ballalae,Ballalae Airport,BAS,"-6.990745, 155.886656"
Fera Island,Fera/Maringe Airport,FRE,"-8.1075, 159.576996"
Honiara,Honiara International Airport,HIR,"-9.428, 160.054993"
Mbambanakira,Babanakira Airport,MBU,"-9.7475, 159.839005"
Avu Avu,Avu Avu Airport,AVU,"-9.868333, 160.410556"
Kirakira,Ngorangora Airport,IRA,"-10.449700355500001, 161.897994995"
Santa Cruz/Graciosa Bay/Luova,Santa Cruz/Graciosa Bay/Luova Airport,SCZ,"-10.7203, 165.794998"
Munda,Munda Airport,MUA,"-8.32797, 157.263"
Gizo,Nusatupe Airport,GZO,"-8.09778022766, 156.863998413"
Stirling Island,Mono Airport,MNY,"-7.41694, 155.565002"
Parasi,Parasi Airport,PRS,"-9.641670227050781, 161.4250030517578"
Rennell Island,Rennell/Tingoa Airport,RNL,"-11.55, 160.062778"
Sege,Sege Airport,EGM,"-8.57889, 157.876007"
Santa Ana Island,Santa Ana Airport,NNB,"-10.847994, 162.454108"
Marau,Marau Airport,RUS,"-9.86167, 160.824997"
Suavanao,Suavanao Airport,VAO,"-7.58556, 158.731003"
Yandina,Yandina Airport,XYA,"-9.092816, 159.21841"
Kagua,Kagua Airport,AGK,"-6.396388888890001, 143.853611111"
Kagau Island,Kaghau Airport,KGE,"-7.3305, 157.585"
Kolombangara Island,Kukudu Airport,KUE,"-8.0262, 156.94783"
Kwailabesi,Kwailabesi Airport,KWS,"-8.360508, 160.775127"
Lomlom,Lomlom Airport,LLM,"-10.296828, 166.327322"
Star Harbor,Nana Airport,NAZ,"-10.6758, 162.2049"
Manaoba,Manaoba Airport,MHM,"-8.325008, 160.80051"
Gatokae,Gatokae Aerodrome,GTA,"-8.738358, 158.202836"
Ringi Cove,Ringi Cove Airport,RIN,"-8.12639045715332, 157.14300537109375"
Ramata,Ramata Airport,RBV,"-8.168060302734375, 157.64300537109375"
Tulaghi Island,Tulaghi Heliport,TLG,"-9.108, 160.149166667"
Ambatolahy,Ambatolhy Airport,AHY,"-20.015833333299998, 45.535"
Bigatyelang Island,Ailinglaplap Airok Airport,AIC,"7.279422, 168.8257"
Chena Hot Springs,Chena Hot Springs Airport,CEX,"65.0518035889, -146.04699707"
Solomon,Solomon State Field,SOL,"64.5605, -164.4457"
Herendeen Bay,Herendeen Bay Airport,HED,"55.802346, -160.901346"
Taylor,Taylor Airport,TWE,"65.6792984009, -164.798995972"
Tikchik,Tikchik Lodge Seaplane Base,KTH,"59.9631996155, -158.477005005"
Tuxekan Island,Naukati Bay Seaplane Base,NKI,"55.849602, -133.227994"
Candle,Candle 2 Airport,CDL,"65.907699585, -161.925994873"
Amook Bay,Amook Bay Seaplane Base,AOS,"57.4715003967, -153.815002441"
Boswell Bay,Boswell Bay Airport,BSW,"60.4230995178, -146.145996094"
ZaKouma,Zakuoma Airport,AKM,"10.8902777778, 19.8172222222"
Lazy Bay,Alitak Seaplane Base,ALZ,"56.897294, -154.249692"
Kapan,Syunik Airport,YUK,"39.202272, 46.455204"
Alto Molocue,Alto Molocue Airport,AME,"-15.6102777778, 37.6813888889"
,Ambatomainty Airport,AMY,"-17.686667, 45.623889"
Yaren,Nauru International Airport,INU,"-0.547893, 166.919525"
Angus Downs Station,Angus Downs Airport,ANZ,"-25.0325, 132.2748"
Saurimo,Catoca Airport,CTV,"-9.431359, 20.311557"
Andulo,Andulo Airport,ANL,"-11.4723, 16.710899"
Cangamba,Cangamba Airport,CNZ,"-13.7106, 19.861099"
Dirico,Dirico Airport,DRC,"-17.981924, 20.768061"
N'dalatando,N'dalatando Airport,NDF,"-9.280378, 14.982432"
,Annanberg Airport,AOB,"-4.90416666667, 144.635833333"
Abou-Deïa,Abou-Deïa Airport,AOD,"11.4773, 19.2874"
,Asapa Airport,APP,"-8.979167, 148.103611"
Girdwood,Girdwood-Alyeska Airport,AQY,"60.968774, -149.119792"
Bragado,Bragado Airport,QRF,"-35.145811, -60.480294"
Caleta Olivia,Caleta Olivia Airport,CVI,"-46.37428, -67.59409"
Charata,Charata Airport,CNT,"-27.2164, -61.2103"
General Villegas,General Villegas Airport,VGS,"-34.995728, -62.999725"
Los Menucos,Los Menucos Airport,LMD,"-40.817699, -68.074699"
Valcheta,Valcheta Airport,VCF,"-40.700001, -66.150002"
Carmen de Patagones,Carmen de Patagones Airport,CPG,"-40.7781, -62.9803"
,Aragip Airport,ARP,"-9.88333333333, 149.483333333"
,Asirim Airport,ASZ,"-6.009722222220001, 150.368611111"
Queen Maud Island,[Duplicate] Wolf's Fang Runway,WFR,"-71.5264, 8.799459"
Lady Elliot Island,Lady Elliot Island Airstrip,LYT,"-24.1129, 152.7156"
Cosmo Newbery,Gruyere Airport,GYZ,"-28.034548, 123.81506"
Agnew,Agnew Airport,AGW,"-12.1456, 142.149369"
Alroy Downs,Alroy Downs Airport,AYD,"-19.2908, 136.078995"
Baniyala,Baniyala Airport,BYX,"-13.1981, 136.227005"
Coolibah,Coolibah Airport,COB,"-15.548299789428711, 130.96200561523438"
Coorabie,Coorabie Airport,CRJ,"-31.894399642944336, 132.29600524902344"
Carlton Hill,Carlton Hill Airport,CRY,"-15.501899719238281, 128.53399658203125"
Cresswell Downs,Cresswell Downs Airport,CSD,"-17.947999954223633, 135.91600036621094"
Diamantina Lakes,Diamantina Lakes Airport,DYM,"-23.761699676513672, 141.14500427246094"
Hayman Island,Hayman Island Resort Seaplane Base,HIS,"-20.059999465942383, 148.88099670410156"
Helenvale,Helenvale Airport,HLV,"-15.685799598693848, 145.21499633789062"
Kimberley Downs,Kimberley Downs Airport,KBD,"-17.398577, 124.355565"
Ghan,Kulgera Airport,KGR,"-25.8428, 133.292007"
Peppimenarti,Peppimenarti Airport,PEP,"-14.1442, 130.091003"
Rockhampton Downs,Rockhampton Downs Airport,RDA,"-18.95330047607422, 135.2010040283203"
Sturt Creek,Sturt Creek Airport,SSK,"-19.166400909423828, 128.1739959716797"
Shaw River,Shaw River Airport,SWB,"-21.510299682617188, 119.36199951171875"
Torwood,Torwood Airport,TWP,"-17.363300323486328, 143.75"
Springvale,Springvale Airport,ZVG,"-17.7869, 127.669998"
Awar,Awar Airport (unusable),AWR,"-4.122278, 144.853292"
Bayanhot,Alxa Left Banner Bayanhot Airport,AXF,"38.748317, 105.58416"
Kabir,Pantar Kabir Airport,AXO,"-8.244832, 124.219108"
,Ama Airport,AMF,"-4.10111111111, 141.67"
Aue,Mount Aue Airport,UAE,"-6.229978, 144.664181"
Afore,Afore Airstrip,AFR,"-9.13867, 148.390701"
Agaun,Agaun Airport,AUP,"-9.927715, 149.389951"
Aitape,Aitape Airport,ATP,"-3.143611, 142.346806"
Aiambak,Aiambak Airport,AIH,"-7.342777777779999, 141.2675"
Amanab,Amanab Airport,AMU,"-3.586, 141.214333333"
Andekombe,Andakombe Airport,ADC,"-7.13722222222, 145.744722222"
Aiome,Aiome Airport,AIE,"-5.145699978, 144.7307003"
,Kompiam Airport,KPM,"-5.38166666667, 143.924722222"
Ambunti,Ambunti Airport,AUJ,"-4.21566666667, 142.823166667"
Awaba,Awaba Airport,AWB,"-8.013414, 142.752099"
Aseki,Aseki Airport,AEK,"-7.350805, 146.193994"
Aiyura Valley,Aiyura Airport,AYU,"-6.33805555556, 145.904166667"
Baimuru,Baimuru Airport,VMU,"-7.496955, 144.821756"
Bambu,Bambu Airport,BCP,"-5.863611111110001, 146.4925"
Bodinumu,Bodinumu Airport,BNM,"-9.107777777779999, 147.666722222"
Bamu,Bamu Airport,BMZ,"-7.8485, 143.2433"
,Baindoung Airport,BDZ,"-6.34722222222, 146.942222222"
Bensbach,Bensbach Airport,BSP,"-8.85805555556, 141.259444444"
Bewani,Bewani Airport,BWP,"-3.0216666666700003, 141.165277778"
Buka Island,Buka Airport,BUA,"-5.422299, 154.672698"
"Bialla,Bialla Airport, Ewase",AYBL,BIA,"-5.3305602073700005, 151.007995605"
Balimo,Balimo Airport,OPU,"-8.05000019073, 142.932998657"
Bomai,Bomai Airport,BMH,"-6.37316666667, 144.637"
Bapi,Bapi Airstrip,BPD,"-7.743611111110001, 147.020555556"
Biangabip,Biangabip Airport,BPK,"-5.526389, 141.744583"
Biaru,Biaru Airport,BRP,"-7.6693, 146.7594"
Bulolo,Bulolo Airport,BUL,"-7.216286671410001, 146.649541855"
Biniguni,Biniguni Airport,XBN,"-9.6425, 149.303889"
Chungribu,Chungribu Airport,CVB,"-4.80662, 144.714996"
Cape Gloucester,Cape Gloucester Airport,CGC,"-5.455231, 148.422289"
Kundiawa,Chimbu Airport,CMU,"-6.024290084838867, 144.9709930419922"
Samarai Island,China Strait Airstrip,SQT,"-10.5627777778, 150.690694444"
Debepare,Debepare Airport,DBP,"-6.30861111111, 141.905555556"
Derim,Derim Airport,DER,"-6.14472222222, 147.107222222"
Bundi,Bundi Airport,BNT,"-5.742222222220001, 145.2275"
Munduku,Munduku Airport,MDM,"-4.6204, 143.4516"
Kondobol,Kondobol Airport,KPF,"-8.5336, 142.5049"
Dinangat,Dinangat Airport,DNU,"-6.1546, 146.6772"
Castori Islets,Doini Airport,DOI,"-10.7009, 150.7218"
Dorobisoro,Dorobisoro Airport,DOO,"-9.461855, 147.920907"
Daru,Daru Airport,DAU,"-9.08676, 143.207993"
Gunim,Kerau Airport,KRU,"-8.271612, 147.071899"
Embessa,Embessa Airport,EMS,"-9.447, 148.7628"
Yellow River Mission,Edwaki Airport,XYR,"-3.883986, 141.792234"
Emirau Island,Emirau Airport,EMI,"-1.653949991, 149.9757667"
Efogi,Efogi Airport,EFG,"-9.15380555556, 147.659805556"
Morehead,Morehead Airport,MHY,"-8.71411111111, 141.644444444"
Eliptamin,Eliptamin Airport,EPT,"-5.0412, 141.6779"
Engati,Engati Airstrip,EGA,"-6.9179, 146.1053"
Emo Mission,Emo River Airstrip,EMO,"-9.1234, 148.0415"
Erume,Erume Airport,ERU,"-8.2538, 146.9747"
Demgulu,Meselia Airport,MFZ,"-6.1364, 149.1183"
Bosset,Bosset Airport,BOT,"-7.237257, 141.1063222"
Erave,Erave Airport,ERE,"-6.60646315446, 143.900213242"
Siwea,Siwea Airport,SWE,"-6.284181, 147.582371"
Fane Mission,Fane Airport,FNE,"-8.54927777778, 147.085833333"
Feramin,Feramin Airport,FRQ,"-5.208, 141.6988"
Buki,Finschhafen Airport,FIN,"-6.621750109, 147.85405"
Frieda River,Frieda River Airport,FAQ,"-4.610468, 141.960138"
Fuma,Fuma Airport,FUM,"-6.3933, 142.4408"
Goronka,Goroka Airport,GKA,"-6.081689834590001, 145.391998291"
Gewoia,Gewoia Airport,GEW,"-9.2263, 148.4949"
Guari,Guari Airport,GUG,"-8.1286, 146.8722"
Au,Garasa Airport,GRL,"-7.980713, 147.213461"
Garaina,Garaina Airport,GAR,"-7.875625, 147.141266"
Woodlark (Muyua) Island,Guasopa Airport,GAZ,"-9.225918, 152.944352"
Gonaili,Gonaili Airport,GOE,"-5.527716614, 151.5733333"
Gurney,Gurney Airport,GUR,"-10.3114995956, 150.333999634"
Gusap,Gusap Airport,GAP,"-6.053196, 145.959047"
Popondetta,Girua Airport,PNP,"-8.80453968048, 148.309005737"
Gasuke,Gasuke Airport,GBC,"-6.1028, 141.7393"
Gasmata Island,Gasmata Island Airport,GMI,"-6.27111005783, 150.330993652"
Anguganak,Anguganak Airport,AKG,"-3.560504, 142.217307"
Green River,Green River Airport,GVI,"-3.9022428989400004, 141.170516968"
Gora,Gora Airstrip,GOC,"-9.0021, 148.2364"
Habi,Habi Airport,HBD,"-6.32, 142.4893"
Heiweni,Heiweni Airport,HNI,"-7.4223, 146.4276"
Bainyik,Hayfields Airport,HYF,"-3.69838, 143.057902"
Honinabi,Honinabi Airport,HNN,"-6.2457, 142.1771"
Kimbe,Hoskins Airport,HKN,"-5.463846, 150.407327"
Haivaro,Haivaro Airport,HIT,"-6.9406, 143.059"
Hawabango,Hawabango Airport,HWA,"-7.392994, 146.003487"
Nissan Island,Nissan Island Airport,IIS,"-4.49972009659, 154.225997925"
Indagen,Indagen Airport,IDN,"-6.22663, 147.244"
Imane,Imane Airport,IMN,"-6.7524, 146.1072"
Kungim,Kungim Airport,KGM,"-5.671, 141.03"
Imonda,Imonda Airport,IMD,"-3.328, 141.1573"
Kieta,Aropa Airport,KIE,"-6.305727, 155.728249"
Ialibu,Ialibu Airport,IAL,"-6.2782, 143.9944"
Wasua,Wasua Airport,WSA,"-8.2836, 142.8697"
Garove Island,Witu Airport,WIU,"-4.689522, 149.440112"
Miyanmin,Miyanmin Airport,MPX,"-4.903055555560001, 141.620833333"
Yongai,Yongai Airport,KGH,"-8.5289, 147.4603"
Josephstaal,Josephstaal Airport,JOP,"-4.74708333333, 145.007083333"
Losuia,Losuia Airport,LSA,"-8.505820274353027, 151.08099365234375"
,Kabwum,KBM,"-6.15547222222, 147.191472222"
Kandrian,Kandrian Airport,KDR,"-6.19217, 149.54783"
Hoieti,Kamina Airport,KMF,"-7.64925, 145.956944444"
Kopiago,Kopiago Airport,KPA,"-5.3883, 142.4977"
Kamulai Mission,Kamulai Airport,KAQ,"-8.150694444440001, 146.834"
Kiunga,Kiunga Airport,UNG,"-6.1257100105285645, 141.28199768066406"
Kanainj,Kanainj Airport,KNE,"-5.2903, 144.7072"
Kikori,Kikori Airport,KRI,"-7.42438, 144.250076"
Kerema,Kerema Airport,KMA,"-7.96361017227, 145.770996094"
Kokoda,Kokoda Airport,KKD,"-8.884679, 147.730957"
Kagi,Kagi Airport,KGW,"-9.135916666670001, 147.669444444"
Kar Kar Island,Kar Kar Airport,KRX,"-4.557, 145.9404"
Kaintiba,Kaintiba Airport,KZF,"-7.50025, 146.033833333"
Kuri,Kuri Airport,KUQ,"-7.135083, 143.276111"
Kavieng,Kavieng Airport,KVG,"-2.57940006256, 150.807998657"
Kawito,Kawito Airport,KWO,"-7.977006912229999, 142.823577881"
Londolovit,Londolovit Airport,LNV,"-3.04361009598, 152.628997803"
Lab Lab Mission,Lab Lab Airport,LAB,"-5.7204, 148.0566"
Denglagu Mission,Keglsugl Airport,KEG,"-5.83277777778, 145.097222222"
Kibuli,Kibuli Airstrip,KII,"-9.006528, 142.698056"
Linga Linga,Linga Linga Airport,LGN,"-5.5319444444400006, 149.734166667"
,Langimar Airport,LNM,"-7.22313888889, 146.227083333"
Lowai,Lowai Airport,LWI,"-6.3344, 146.6458"
Leron Plains,Leron Plains Airport,LPN,"-6.3917, 146.3434"
Lese,Lese Airport,LNG,"-8.2799, 146.2765"
,Lengbati Airport,LNC,"-6.384611111110001, 147.368638889"
Lumi,Lumi Airport,LMI,"-3.47683951134, 142.041292191"
Long Island,Long Island Airport,LSJ,"-5.3604, 147.0177"
Abu Dhabi,Yas Island Seaplane Base,AYM,"24.467, 54.6103"
Manari,Manari Airport,MRM,"-9.1908, 147.6219"
Morobe,Morobe Airport,OBM,"-7.74, 147.59"
Menyamya,Menyamya Airport,MYX,"-7.21166666667, 146.019361111"
Madang,Madang Airport,MAG,"-5.20707988739, 145.789001465"
Mount Hagen,Mount Hagen Kagamuga Airport,HGU,"-5.828212, 144.299412"
Mindik,Mindik Airport,MXK,"-6.47166666667, 147.441138889"
Makini,Makini Airport,MPG,"-6.532222222220001, 147.651166667"
Mougulu,Mougulu Airport,GUV,"-6.280859, 142.420775"
Mendi,Mendi Airport,MDU,"-6.14774, 143.656998"
Manus Island,Momote Airport,MAS,"-2.06189, 147.423996"
Malalaua,Malalaua Airport,MLQ,"-8.07138888889, 146.155472222"
Malam,Malam Airport,MQO,"-8.70916666667, 142.649722222"
Moro,Moro Airport,MXH,"-6.36332988739, 143.238006592"
Misima Island,Misima Island Airport,MIS,"-10.689200401299999, 152.837997437"
Babase Island,Malekolon Airport,MKN,"-4.02343055556, 153.657277778"
Marawaka,Marawaka Airport,MWG,"-6.9736, 145.8849"
Tatau Island,Mapua(Mabua) Airport,MPU,"-2.81138888889, 151.991111111"
Gwarawon,Nankina Airport,NKN,"-5.837, 146.4533"
Kanabea,Kanabea Airport,KEX,"-7.538888888890001, 145.905"
Nadunumu,Nadunumu Airport,NDN,"-9.14355555556, 147.68425"
Aua Island,Aua Island Airport,AUI,"-1.46055555556, 143.064722222"
Negarbo,Negarbo(Negabo) Airport,GBF,"-6.567778, 144.703058"
Manguna,Manguna Airport,MFO,"-5.577778, 151.792333"
Nuguria Island,Nuguria Airstrip,NUG,"-3.4075, 154.7383"
Namudi,Namudi Airport,NDI,"-9.47375, 148.329416667"
Kasonombe,Kasonombe Airport,KSB,"-6.3819, 146.9859"
Kandep,Kandep Airport,KDP,"-5.84061111111, 143.507222222"
Namane,Nomane Airport,NMN,"-6.32183, 145.070667"
Bunsil - Umboi Island,Bunsil Airport,BXZ,"-5.7243, 147.8667"
Nuku,Nuku Airport,UKU,"-3.676765, 142.48492"
Namatanai,Namatanai Airport,ATN,"-3.6695, 152.438"
Nambaiyufa,Nambaiyufa Airport,NBA,"-6.2412, 145.2424"
Lae,Nadzab Tomodachi International Airport,LAE,"-6.567995, 146.726544"
Obo,Obo Airport,OBX,"-7.590622421369999, 141.324262619"
Konge,Konge Airport,KGB,"-6.2239, 147.2152"
Okao,Okao Airport,OKV,"-5.55666666667, 141.032777778"
,Ogeranang Airport,OGE,"-6.46675, 147.364166667"
Oksapmin,Oksapmin Airport,OKP,"-5.2261, 142.2259"
Komako,Komako Airport,HOC,"-7.3984, 145.8827"
Kol,Kol Airport,KQL,"-5.73116666667, 144.846"
Omora,Omora Airport,OSE,"-7.82777777778, 147.080638889"
Komo,Komo-Manda Airport,KOM,"-6.0682, 142.8598"
Kosipe Mission,Kosipe Airport,KSP,"-8.450716, 147.209195"
Komaio,Komaio Airport,KCJ,"-7.2714, 143.5952"
Olsobip,Olsobip Airport,OLQ,"-5.3897222222200005, 141.515277778"
Koroba,Koroba Airport,KDE,"-5.6952, 142.7441"
Maitanakunai,Open Bay Airport,OPB,"-4.794727, 151.696195"
Paiela,Paiela Airport,PLE,"-5.372407, 142.975774"
Pangoa,Pangoa Airport,PGB,"-7.0226, 141.5605"
Pindiu,Pindiu Airport,PDI,"-6.445138888890001, 147.515833333"
April River,April River Airport,APR,"-4.67666666667, 142.540138889"
Pangia,Pangia Airport,PGN,"-6.386, 144.1084"
Pimaga,Pimaga Airport,PMP,"-6.49916666667, 143.510277778"
Mapoda,Mapoda Airport,MPF,"-7.979, 143.1694"
Pumani,Pumani Airport,PMN,"-9.7469, 149.4766"
Puri,Walluanda Airport,WLU,"-6.475161, 143.987222"
Port Moresby,Port Moresby Jacksons International Airport,POM,"-9.443380355834961, 147.22000122070312"
Amboin,Karawari Airstrip,KRJ,"-4.59666666667, 143.5225"
Tumolbil,Tumolbil Airport,TLP,"-4.7748, 141.0133"
Sopu,Sopu Airport,SPH,"-8.3038, 147.1659"
Onange Mission,Ononge Airport,ONB,"-8.67436111111, 147.262416667"
Sialum,Sialum Airport,SXA,"-6.0908, 147.5955"
Kira,Kira Airport,KIQ,"-8.065111111110001, 147.332027778"
Rabaraba,Raba Raba Airport,RBP,"-9.97111111111, 149.832222222"
,Rumginae Airport,RMN,"-5.89722222222, 141.271666667"
Karimui,Karimui Airport,KMR,"-6.4921, 144.823"
Yule Island,Kairuku Airport,RKU,"-8.817000054, 146.5243833"
Maramuni,Maramuni Airport,MWI,"-5.13, 143.4829"
Kakoro,Kakoro(Koroko) Airstrip,KOR,"-7.8346666666700004, 146.5335"
May River,May River Airstrip,MRH,"-4.3615, 141.785"
,Suabi Airport,SBE,"-6.10444444444, 142.278333333"
Saidor,Saidor Airport,SDI,"-5.62713888889, 146.462777778"
Simberi Island,Simberi Airport,NIS,"-2.66222222222, 151.997777778"
Safia,Safia Airport,SFU,"-9.594471, 148.639305"
Sila Mission,Sila Airport,SIL,"-9.07355555556, 148.38925"
Sabah,Sabah Airport,SBV,"-5.5765, 155.0489"
Simbai,Simbai Airport,SIM,"-5.278611111110001, 144.544722222"
Sengapi,Sengapi Airstrip,SGK,"-5.12583333333, 144.323611111"
Sehulea,Sehulea Airport,SXH,"-9.96452777778, 151.161861111"
Selbang,Selbang Airport,SBC,"-5.315, 141.752"
Sapmanga,Sapmanga Airport,SMH,"-6.075277777779999, 146.811111111"
Sepik Plains,Sepik Plains Airport,SPV,"-3.8821, 143.6734"
Sasereme,Sasereme Airport,TDS,"-7.6217, 142.868"
Suki,Suki Airport,SKC,"-8.0466, 141.7222"
Sauren,Sauren Airport,SXW,"-5.9701, 148.8543"
Satwag,Satwag Airport,SWG,"-6.13955555556, 147.279166667"
Masa,Masa Airport,MBV,"-6.345, 147.591"
Tari,Tari Airport,TIZ,"-5.845, 142.947998"
Tabubil,Tabubil Airport,TBG,"-5.280471, 141.227576"
Telefomin,Telefomin Airport,TFM,"-5.12608, 141.641922"
Tetebedi,Tetebedi Airport,TDB,"-9.1586, 148.0686"
Sudest Island,Tagula Airport,TGL,"-11.3311111111, 153.202916667"
Tifalmin,Tifalmin Airport,TFB,"-5.117249, 141.418076"
Tapini,Tapini Airport,TPI,"-8.35666666667, 146.989166667"
Kokopo,Tokua Airport,RAB,"-4.34046, 152.380005"
Tekin,Tekin Airport,TKW,"-5.243667, 142.165194"
Kamberatoro Mission,Kamberatoro Airport,KDQ,"-3.600556, 141.051667"
Teptep,Tep Tep Airport,TEP,"-5.9553, 146.5595"
Tarabo,Tarabo Airport,TBQ,"-6.46666666667, 145.532222222"
Tsewi,Tsewi Airport,TSW,"-7.0695, 146.1272"
Tarakbits,Tarakbits Airport,TRJ,"-5.614, 141.0421"
